family,condition_label,training_seed,simulation_seed,bias_percent,dropout_duration_s,drift_final_percent,post_step_load_Nm,b_fault_window_rmse,c3_fault_window_rmse,c3_minus_b_fault_window_rmse,favorable_c3_minus_b,b_overall_rmse,c3_overall_rmse,c3_sensor_fault_detected,c3_detection_latency_s,c3_reliability_entries,c3_post_event_reliability_entries,c3_sub_fraction,c3_frac_phys,c3_frac_main,c3_frac_aux,c3_frac_fb,c3_event_frac_phys,c3_event_frac_main,c3_event_frac_aux,c3_event_frac_fb,c3_recovery_events,c3_recovery_latency_s,c3_recovered_after_event
drift,drift_2.5pct,2028,59026,,,2.5,,0.8575177440268381,0.8575177440268381,0.0,False,10.835577652791605,10.835577652791605,False,,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_2.5pct,2028,59027,,,2.5,,0.8257197267732582,0.8257197267732617,3.4416913763379853e-15,False,10.832498288112934,10.832498288112934,False,,0,0,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_2.5pct,2028,59028,,,2.5,,0.8388170999666973,0.8388170999666973,0.0,False,10.834799258328005,10.834799258328005,False,,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_2.5pct,2028,59029,,,2.5,,0.8715283417990383,0.8743968816458636,0.0028685398468253354,False,10.834565164675764,10.834719374433403,False,,0,0,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,0.9950124688279302,0.004987531172069825,0.0,0.0,0,,
drift,drift_2.5pct,2028,59030,,,2.5,,0.8465680531459715,0.838475276955068,-0.008092776190903539,True,10.841868428050178,10.841463657812634,False,,0,0,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_5pct,2026,59026,,,5.0,,1.796595020293864,1.796595020293864,0.0,False,10.910353910276188,10.910353910276188,False,,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_5pct,2026,59027,,,5.0,,1.7418117324350593,1.741811732435164,1.0480505352461478e-13,False,10.90047585196001,10.900475851960021,False,,0,0,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_5pct,2026,59028,,,5.0,,1.7799877248218199,1.7799877248218199,0.0,False,10.907266459922116,10.907266459922116,False,,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_5pct,2026,59029,,,5.0,,1.8029186466798743,1.7999098923672672,-0.0030087543126071647,True,10.907353172943989,10.907021616517442,False,,0,0,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,0.9950124688279302,0.004987531172069825,0.0,0.0,0,,
drift,drift_5pct,2026,59030,,,5.0,,1.7889589511063275,3.097188467308177,1.3082295162018496,False,10.913318444139799,11.213940961846777,False,,1,0,0.9184692179700499,0.08153078202995008,0.17470881863560733,0.7437603993344426,0.0,0.0,0.0,1.0,0.0,0,,
drift,drift_5pct,2027,59026,,,5.0,,1.642705183985976,0.9956148555926004,-0.6470903283933757,True,10.911141214175545,11.113450435001903,False,,1,0,0.8585690515806988,0.14143094841930118,0.0,0.8585690515806988,0.0,0.0,0.0,1.0,0.0,0,,
drift,drift_5pct,2027,59027,,,5.0,,1.6164005052479515,0.9832465111712283,-0.6331539940767232,True,10.911887147291658,11.114936978544394,False,,1,0,0.9234608985024958,0.07653910149750416,0.13477537437603992,0.7886855241264559,0.0,0.0,0.0,1.0,0.0,0,,
drift,drift_5pct,2027,59028,,,5.0,,1.6404723229166887,1.6404723229166887,0.0,False,10.917318788441243,10.917318788441243,False,,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_5pct,2027,59029,,,5.0,,1.6537612465513087,0.7016637770968462,-0.9520974694544625,True,10.90382003528308,10.834988913062588,True,0.03000000000000025,2,2,0.3876871880199667,0.6123128119800333,0.3876871880199667,0.0,0.0,0.41895261845386533,0.5810473815461347,0.0,0.0,1,,
drift,drift_5pct,2027,59030,,,5.0,,1.6170654403872706,1.2334184724866781,-0.3836469679005925,True,10.900620156272309,11.305131336789039,False,,1,0,0.9001663893510815,0.09983361064891846,0.1281198003327787,0.7720465890183028,0.0,0.0,0.0,1.0,0.0,0,,
drift,drift_5pct,2028,59026,,,5.0,,1.7185345850208298,1.7185345850208298,0.0,False,10.903653342537451,10.903653342537451,False,,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_5pct,2028,59027,,,5.0,,1.6798007972111684,1.6798007972111653,-3.1086244689504383e-15,True,10.898202502909363,10.898202502909363,False,,0,0,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_5pct,2028,59028,,,5.0,,1.7124574765683878,1.7124574765683878,0.0,False,10.903212470260076,10.903212470260076,False,,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_5pct,2028,59029,,,5.0,,1.7265047049351492,1.7274081671919292,0.0009034622567800632,False,10.902746084494439,10.902841566931977,False,,0,0,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,0.9950124688279302,0.004987531172069825,0.0,0.0,0,,
drift,drift_5pct,2028,59030,,,5.0,,1.7085845578032637,1.7038000333512375,-0.004784524452026151,True,10.909432697492104,10.90894817183184,False,,0,0,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,0,,
dropout,dropout_0.1s,2026,59026,,0.1,,,0.5765146251162954,0.4403120733846173,-0.13620255173167806,True,10.882058235711247,10.814365654082673,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
dropout,dropout_0.1s,2026,59027,,0.1,,,0.5100416954237671,0.35376584877480005,-0.15627584664896704,True,10.917470433649308,10.81316138508455,True,0.020000000000000018,1,1,0.670549084858569,0.32945091514143093,0.670549084858569,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
dropout,dropout_0.1s,2026,59028,,0.1,,,0.3102211340490228,0.1719801881913679,-0.1382409458576549,True,10.879756997193434,10.813439649260706,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
dropout,dropout_0.1s,2026,59029,,0.1,,,0.6040494567109171,0.4516365243971127,-0.15241293231380443,True,10.91845629786275,10.820978843196876,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
dropout,dropout_0.1s,2026,59030,,0.1,,,0.4002179007960815,2.5779974572953868,2.1777795564993054,False,10.93596969804864,11.213940961846777,False,,1,0,0.9184692179700499,0.08153078202995008,0.17470881863560733,0.7437603993344426,0.0,0.0,0.0,1.0,0.0,0,,False
dropout,dropout_0.1s,2027,59026,,0.1,,,0.7525979413667485,1.579640139271622,0.8270421979048734,False,10.831858529671713,11.113450435001903,False,,1,0,0.8585690515806988,0.14143094841930118,0.0,0.8585690515806988,0.0,0.0,0.0,1.0,0.0,0,,False
dropout,dropout_0.1s,2027,59027,,0.1,,,1.0817042028719355,1.6275078038796198,0.5458036010076843,False,10.834016213477122,11.114936978544394,False,,1,0,0.9234608985024958,0.07653910149750416,0.13477537437603992,0.7886855241264559,0.0,0.0,0.0,1.0,0.0,0,,False
dropout,dropout_0.1s,2027,59028,,0.1,,,1.1965453932051193,1.2663061218911478,0.06976072868602845,False,10.839108209092078,10.84242919138909,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
dropout,dropout_0.1s,2027,59029,,0.1,,,0.7961702085357178,0.8657470457352502,0.06957683719953234,False,10.821946590572521,10.823734336798125,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
dropout,dropout_0.1s,2027,59030,,0.1,,,0.8144097209983534,5.241246995577245,4.426837274578892,False,10.825665831305537,11.305131336789039,False,,1,0,0.9001663893510815,0.09983361064891846,0.1281198003327787,0.7720465890183028,0.0,0.0,0.0,1.0,0.0,0,,False
dropout,dropout_0.1s,2028,59026,,0.1,,,0.6174003882364251,0.4758268772611552,-0.14157351097526988,True,10.87098969505785,10.852147954612446,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
