family,condition_label,training_seed,run_count,detection_probability,mean_detection_latency_s_when_detected,mean_substitution_fraction,mean_frac_phys,mean_frac_main,mean_frac_aux,mean_frac_fb,mean_event_frac_phys,mean_event_frac_main,mean_event_frac_aux,mean_event_frac_fb,total_recovery_events,recovery_probability_when_defined,mean_recovery_latency_s_when_defined,mean_post_event_reliability_active_duration_s_when_defined,mean_total_sub_duration_s,mean_source_switch_episode_duration_s
bias,bias_5pct,2027,5,0.4,0.020000000000000018,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0,0,0.0,,3.98,4.828,2.44
bias,bias_5pct,2028,5,1.0,0.020000000000000018,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,,3.9799999999999995,4.018,2.2
combined_bias_load,combined_bias_15pct_load_0.15Nm,2026,5,0.8,0.020000000000000018,0.5853577371048253,0.4146422628951747,0.10682196339434276,0.47853577371048256,0.0,0.0,0.14152823920265784,0.8584717607973422,0.0,0,,,2.98,3.518,1.4514285714285715
combined_bias_load,combined_bias_15pct_load_0.15Nm,2027,5,0.2,0.020000000000000018,0.7693843594009983,0.23061564059900164,0.1184692179700499,0.6509151414309484,0.0,0.0,0.0664451827242525,0.9335548172757475,0.0,0,,,2.98,4.6240000000000006,1.8799999999999997
combined_bias_load,combined_bias_15pct_load_0.15Nm,2028,5,1.0,0.020000000000000018,0.502495840266223,0.49750415973377704,0.10316139767054908,0.39933444259567386,0.0,0.0,0.20265780730897007,0.79734219269103,0.0,0,,,2.98,3.0200000000000005,1.382857142857143
combined_bias_load,combined_bias_15pct_load_0.1Nm,2026,5,0.8,0.020000000000000018,0.5853577371048253,0.4146422628951747,0.14875207986688851,0.43660565723793676,0.0,0.0,0.22524916943521597,0.7747508305647841,0.0,0,,,2.98,3.518,1.4514285714285715
combined_bias_load,combined_bias_15pct_load_0.1Nm,2027,5,0.2,0.020000000000000018,0.7693843594009983,0.23061564059900164,0.1410981697171381,0.6282861896838602,0.0,0.0,0.11162790697674418,0.8883720930232558,0.0,0,,,2.98,4.6240000000000006,1.8799999999999997
combined_bias_load,combined_bias_15pct_load_0.1Nm,2028,5,1.0,0.020000000000000018,0.502495840266223,0.49750415973377704,0.1973377703826955,0.30515806988352745,0.0,0.0,0.3906976744186047,0.6093023255813954,0.0,0,,,2.98,3.0200000000000005,1.382857142857143
combined_bias_load,combined_bias_5pct_load_0.15Nm,2026,5,0.8,0.020000000000000018,0.5853577371048253,0.4146422628951747,0.10682196339434276,0.47853577371048256,0.0,0.0,0.14152823920265784,0.8584717607973422,0.0,0,,,2.98,3.518,1.4514285714285715
combined_bias_load,combined_bias_5pct_load_0.15Nm,2027,5,0.2,0.020000000000000018,0.7693843594009983,0.23061564059900164,0.1184692179700499,0.6509151414309484,0.0,0.0,0.0664451827242525,0.9335548172757475,0.0,0,,,2.98,4.6240000000000006,1.8799999999999997
