controller,scenario,seed,sub_samples,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,corrupted_rmse,corrupted_mae
C2_aux_recovery_MPC,parameter_variation,19029,164,4.706072559272559,4.307488201031434,9.64568133425024,9.459336379577511,0.2556331205561425,0.20274143736365757
C1_sensor_MPC,parameter_variation,19030,6,0.222748743077773,0.21948851105896003,11.735476763579529,11.733468722071407,0.44059298699080107,0.3463440126773847
C2_aux_recovery_MPC,parameter_variation,19030,217,5.11162794165588,4.535531507407705,9.745147249043923,9.641339639285354,0.22583757238675328,0.18363037515053846
C1_sensor_MPC,combined_fault_load,19026,301,11.427828883936746,10.419694639022334,0.6243990537699085,0.5145378338942623,3.2718955346066947,3.2623865878173905
C2_aux_recovery_MPC,combined_fault_load,19026,301,11.427828883936746,10.419694639022334,0.6243990537699085,0.5145378338942623,3.2718955346066947,3.2623865878173905
C1_sensor_MPC,combined_fault_load,19027,301,12.03820549690279,11.21409477812314,0.7732997286211025,0.5690907003632543,3.2494341674373737,3.238793520509917
C2_aux_recovery_MPC,combined_fault_load,19027,301,12.03820549690279,11.21409477812314,0.7732997286211025,0.5690907003632543,3.2494341674373737,3.238793520509917
C1_sensor_MPC,combined_fault_load,19028,301,11.851793709599384,10.984033127981197,0.6795823289323802,0.5187559215349354,3.2957739410584543,3.285724723773721
C2_aux_recovery_MPC,combined_fault_load,19028,301,11.851793709599384,10.984033127981197,0.6795823289323802,0.5187559215349354,3.2957739410584543,3.285724723773721
C1_sensor_MPC,combined_fault_load,19029,301,11.792991421738371,10.903385440322497,0.6810174090020632,0.5410276550120386,3.2759657907437845,3.2662698655610485
C2_aux_recovery_MPC,combined_fault_load,19029,301,11.792991421738371,10.903385440322497,0.6810174090020632,0.5410276550120386,3.2759657907437845,3.2662698655610485
C1_sensor_MPC,combined_fault_load,19030,301,11.410468836431154,10.399269652560342,0.6375181199947842,0.520879666947167,3.2833790165392673,3.2748887864092935
C2_aux_recovery_MPC,combined_fault_load,19030,301,11.410468836431154,10.399269652560342,0.6375181199947842,0.520879666947167,3.2833790165392673,3.2748887864092935
