controller,scenario,seed,sub_samples,main_virtual_rmse,aux_virtual_rmse,selected_virtual_rmse,corrupted_rmse,main_virtual_mae,aux_virtual_mae,selected_virtual_mae,corrupted_mae
C2_aux_recovery_MPC,sensor_bias_5,19027,401,0.2626660256544832,0.33563167883687456,0.2626660256544832,2.3179571866147883,0.2392307741019733,0.23840558035618153,0.2392307741019733,1.7339999613085322
C3_arbitration_MPC,sensor_bias_5,19027,401,0.2626660256544832,0.33563167883687456,0.2626660256544832,2.3179571866147883,0.2392307741019733,0.23840558035618153,0.2392307741019733,1.7339999613085322
C1_sensor_MPC,sensor_bias_5,19028,401,0.3471331455598059,,0.3471331455598059,2.3322948650356934,0.33869397380194355,,0.33869397380194355,1.7415302403838122
C2_aux_recovery_MPC,sensor_bias_5,19028,401,0.3471331455598059,0.4553563298052101,0.3471331455598059,2.3322948650356934,0.33869397380194355,0.2788509059171409,0.33869397380194355,1.7415302403838122
C3_arbitration_MPC,sensor_bias_5,19028,401,0.3471331455598059,0.4553563298052101,0.3471331455598059,2.3322948650356934,0.33869397380194355,0.2788509059171409,0.33869397380194355,1.7415302403838122
C1_sensor_MPC,sensor_bias_5,19029,401,0.24087065733786578,,0.24087065733786578,2.315535007020555,0.21737244151777826,,0.21737244151777826,1.7287549760808587
C2_aux_recovery_MPC,sensor_bias_5,19029,401,0.24087065733786578,0.4276703010005139,0.24087065733786578,2.315535007020555,0.21737244151777826,0.27870666847972075,0.21737244151777826,1.7287549760808587
C3_arbitration_MPC,sensor_bias_5,19029,401,0.24087065733786578,0.4276703010005139,0.24087065733786578,2.315535007020555,0.21737244151777826,0.27870666847972075,0.21737244151777826,1.7287549760808587
C1_sensor_MPC,sensor_bias_5,19030,401,0.37734757588213813,,0.37734757588213813,2.327939196611021,0.3726213113764073,,0.3726213113764073,1.7267362635507388
C2_aux_recovery_MPC,sensor_bias_5,19030,401,0.37734757588213813,0.46247238976167454,0.37734757588213813,2.327939196611021,0.3726213113764073,0.303452409026654,0.3726213113764073,1.7267362635507388
C3_arbitration_MPC,sensor_bias_5,19030,401,0.37734757588213813,0.46247238976167454,0.37734757588213813,2.327939196611021,0.3726213113764073,0.303452409026654,0.3726213113764073,1.7267362635507388
C1_sensor_MPC,sensor_bias_15,19026,401,0.35600194274747765,,0.35600194274747765,6.917277757803397,0.3510573705935613,,0.3510573705935613,4.984815233983773
C2_aux_recovery_MPC,sensor_bias_15,19026,401,0.35600194274747765,0.24281486273907943,0.35600194274747765,6.917277757803397,0.3510573705935613,0.18585912975505753,0.3510573705935613,4.984815233983773
C3_arbitration_MPC,sensor_bias_15,19026,401,0.35600194274747765,0.24281486273907943,0.35600194274747765,6.917277757803397,0.3510573705935613,0.18585912975505753,0.3510573705935613,4.984815233983773
C1_sensor_MPC,sensor_bias_15,19027,401,0.2626660256544832,,0.2626660256544832,6.914924427256542,0.2392307741019733,,0.2392307741019733,4.987584749338457
C2_aux_recovery_MPC,sensor_bias_15,19027,401,0.2626660256544832,0.33563167883687456,0.2626660256544832,6.914924427256542,0.2392307741019733,0.23840558035618153,0.2392307741019733,4.987584749338457
C3_arbitration_MPC,sensor_bias_15,19027,401,0.2626660256544832,0.33563167883687456,0.2626660256544832,6.914924427256542,0.2392307741019733,0.23840558035618153,0.2392307741019733,4.987584749338457
C1_sensor_MPC,sensor_bias_15,19028,401,0.3471331455598059,,0.3471331455598059,6.9296211811974295,0.33869397380194355,,0.33869397380194355,4.995115028413737
C2_aux_recovery_MPC,sensor_bias_15,19028,401,0.3471331455598059,0.4553563298052101,0.3471331455598059,6.9296211811974295,0.33869397380194355,0.2788509059171409,0.33869397380194355,4.995115028413737
C3_arbitration_MPC,sensor_bias_15,19028,401,0.3471331455598059,0.4553563298052101,0.3471331455598059,6.9296211811974295,0.33869397380194355,0.2788509059171409,0.33869397380194355,4.995115028413737
C1_sensor_MPC,sensor_bias_15,19029,401,0.24087065733786578,,0.24087065733786578,6.91364181856281,0.21737244151777826,,0.21737244151777826,4.982339764110784
C2_aux_recovery_MPC,sensor_bias_15,19029,401,0.24087065733786578,0.4276703010005139,0.24087065733786578,6.91364181856281,0.21737244151777826,0.27870666847972075,0.21737244151777826,4.982339764110784
