controller,scenario,seed,RMSE,MAE,IAE,ISE,max_abs_error,overshoot_percent,settling_time_s,recovery_time_s,fault_interval_RMSE,fault_interval_IAE,fault_interval_ISE,fault_interval_peak_error,control_effort_sum_u2,control_variation_sum_du2,constraint_violations,voltage_violations,rate_violations,nonfinite_events,optimizer_failures,average_solve_ms,p95_solve_ms,max_solve_ms,mean_iterations,mean_objective_evaluations,tail_oscillation,sensor_substitution_rate,medium_mode_fraction,high_mode_fraction,safety_events
C_sensor_MPC,bias_15,12028,10.813961681006766,4.602168140946108,27.483479136173344,696.6949602956912,35.062866971588775,8.53178337674726,1.56,0.0,0.4572277854788833,0.7940437799300137,0.4173267183032469,0.9171036304631102,6278.41249573101,128.8594423555627,0,0,0,0,0,53.0437223144474,98.54690000065602,130.72299999475945,1.9586776859504131,2.371900826446281,0.3689274651045338,0.33943427620632277,0.0,0.0,0
D_adaptive,bias_15,12028,10.826788017468438,4.646026364538693,27.74706104616711,698.3631638989388,35.062866971588775,11.05643034170494,1.6500000000000001,0.0,0.41123071011852513,0.7612402699778127,0.3371570031511071,0.7272105290729698,6211.669882382765,109.9431733671201,0,0,0,0,0,57.77440909072583,115.57779999566264,140.9200999987661,1.9173553719008265,2.3801652892561984,0.3641185344774769,0.33943427620632277,0.03161397670549085,0.004991680532445923,0
A_PI,sensor_dropout,12028,19.119284587803378,15.552399036440503,93.26935779323577,2190.6820623571048,35.062866971588775,94.21573735079009,,,19.978448589624957,35.063761607232,792.9749810172578,32.14060909047653,9705.617107491578,65.63332975353809,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13.265755300407715,0.0,0.0,0.0,0
B_plain_MPC,sensor_dropout,12028,27.543944512691304,23.34287650965879,139.90781979282755,4544.83314110483,41.57360604435546,118.7817315553013,1.6,,20.924046122296872,36.15538303283077,870.1968785795132,32.966521568024234,15052.850093021038,77.74721603984732,0,0,0,0,0,32.322930578697544,72.05070000054548,113.03680000128224,1.2396694214876034,1.2975206611570247,2.5886200496840956,0.0,0.0,0.0,0
C_sensor_MPC,sensor_dropout,12028,10.818650482904882,4.6140170896967785,27.555085220267024,697.3046166497159,35.062866971588775,9.687414861921603,1.6,0.0,0.4206986535024459,0.77428645592359,0.35250202163928385,0.7685165608910651,6220.149427529405,123.23954468215605,0,0,0,0,0,56.188104958042565,101.4666999981273,120.57189999904949,2.0,2.4628099173553717,0.3859778254523434,0.3427620632279534,0.0,0.0,0
D_adaptive,sensor_dropout,12028,10.888411008528458,4.962698140700278,29.650692478290658,706.4055376438565,35.062866971588775,15.828687894907441,2.13,0.0,1.0145004280887362,1.678737888620942,2.045271687526883,1.9099818411815122,6615.241160966046,136.46281271836986,0,0,0,0,0,59.707582644538086,119.02239999471931,162.09890000027372,2.0330578512396693,2.677685950413223,0.4293986358683952,0.3427620632279534,0.46589018302828616,0.018302828618968387,0
A_PI,sensor_drift,12028,11.876885043115996,8.213419620798986,49.14179350681428,841.2273951172676,35.062866971588775,18.96847660686573,2.32,0.31999999999999984,5.322155128779008,19.537637759937226,113.02286953778301,9.171682837527126,5042.909779462825,25.788795593629857,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.8810460741672514,0.0,0.0,0.0,0
B_plain_MPC,sensor_drift,12028,11.579264046591108,7.368681240796587,44.06560810667416,799.283932492233,35.062866971595824,10.357478121307976,1.62,0.0,5.049578127605172,17.407078680421236,101.83882944975385,9.03323010266378,5429.3492088034,170.76640051877317,0,0,0,0,0,96.7837999999251,194.6864999990794,258.8240000040969,2.3057851239669422,2.884297520661157,2.5875115683810535,0.0,0.0,0.0,0
C_sensor_MPC,sensor_drift,12028,11.579396255371446,7.373924393184289,44.09715560105794,799.3029865941141,35.062866971595824,10.357478121307976,1.62,0.0,5.0500324866736435,17.438626174805016,101.85788355163491,9.026000395928385,5431.0481911364795,169.34543561035315,0,0,0,0,0,91.89877355368307,142.6945000057458,182.98170000343816,2.330578512396694,2.9338842975206614,2.57384217086452,0.011647254575707155,0.0,0.0,0
D_adaptive,sensor_drift,12028,11.600119280788853,7.453397354375343,44.57475225835755,802.1892409978957,35.062866971595824,13.07052644572244,1.7,0.0,5.054172139009687,17.45417383010659,102.02136002961508,9.033168287652057,5476.725807100914,167.26539214456577,0,0,0,0,0,100.38903719041552,162.17450000112876,183.75640000158455,2.330578512396694,2.9173553719008263,2.5869706125980443,0.011647254575707155,0.04658901830282862,0.0,0
A_PI,parameter_variation,12028,11.190437923757345,6.150199258996092,36.78453191473305,746.4806603170734,35.062866971588775,19.039144710391643,2.33,1.1900000000000004,2.0393922920684084,4.961935589688915,12.479662908494698,3.573714949209922,7831.83660713183,27.29535999625757,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.29809861178160446,0.0,0.0,0.0,0
B_plain_MPC,parameter_variation,12028,10.81990782025593,4.773123981007815,28.508808815088308,697.4667136427779,35.062866971592776,8.607668769712363,1.56,0.0,0.6292558371557528,1.846220451842548,1.1904259064760674,0.9028089082875894,7860.6471024588045,149.4094814448047,0,0,0,0,0,105.30832314008485,176.80819999804953,195.6008999986807,2.371900826446281,2.8677685950413223,0.2776867314907321,0.0,0.0,0.0,0
C_sensor_MPC,parameter_variation,12028,10.81990782025593,4.773123981007815,28.508808815088308,697.4667136427779,35.062866971592776,8.607668769712363,1.56,0.0,0.6292558371557528,1.846220451842548,1.1904259064760674,0.9028089082875894,7860.6471024588045,149.4094814448047,0,0,0,0,0,87.21710495827075,142.33550000062678,157.28719999606255,2.371900826446281,2.8677685950413223,0.2776867314907321,0.0,0.0,0.0,0
D_adaptive,parameter_variation,12028,10.835434301819214,4.8490501717810535,28.965246073834525,699.4875895474672,35.062866971592776,11.098076590764581,1.6500000000000001,0.0,0.6318315177128676,1.8451477978457156,1.2003189796476823,0.9103424477540258,7920.984342349658,136.1519249263516,0,0,0,0,0,97.05827107431978,166.85880000295583,208.28720000281464,2.28099173553719,2.9917355371900825,0.2784568458640706,0.0,0.3594009983361065,0.0033277870216306157,0
A_PI,combined_fault_load,12028,11.568043009859048,7.36855237187163,44.09245149080481,798.069322343581,35.062866971588775,18.978046875997045,2.32,1.79,4.624494432379917,12.292275146889327,64.27092017988896,7.797692996661329,7564.9414598401645,27.85580412219174,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.007489188836022,0.0,0.0,0.0,0
B_plain_MPC,combined_fault_load,12028,11.269369152976186,6.5728544940910245,39.308724563625724,757.0638748294577,35.06286697158967,8.242523025110009,1.55,,4.5069070109494005,12.798290804999434,61.066337469832746,8.068304142218746,8048.789253863508,174.71092425864154,0,0,0,0,0,92.2694206607604,171.19109999475768,184.05060000077356,2.1735537190082646,2.6942148760330578,0.42760008286964535,0.0,0.0,0.0,0
C_sensor_MPC,combined_fault_load,12028,11.117550392409525,6.253098577712041,37.387231625205516,736.6391869660998,35.06286697158967,8.242523025110009,1.55,,3.677770192869296,10.876797866579224,40.64164960647484,4.304722871905664,7768.872403305437,132.190368787378,0,0,0,0,0,86.33426776905554,136.23260000167647,237.47049999656156,2.165289256198347,2.8181818181818183,0.3704982344850585,0.03993344425956739,0.0,0.0,0
D_adaptive,combined_fault_load,12028,11.132489438774552,6.333936570433758,37.87306865917443,738.6368824418773,35.06286697158967,10.867349569386542,1.6400000000000001,,3.6781789165098777,10.878805889224534,40.65086974515846,4.26344490214214,7839.613389681112,132.5250901847237,0,0,0,0,0,85.98684462812952,160.5968000003486,179.82100000517676,2.1322314049586777,2.7107438016528924,0.37285123980270285,0.03993344425956739,0.03161397670549085,0.0033277870216306157,0
A_PI,nominal_tracking,12029,11.132520920452421,5.767031053694313,34.48332398683065,738.7119926856343,35.062866971588775,19.26089457821805,2.33,2.33,11.132520920452421,34.48332398683065,738.7119926856343,35.062866971588775,5991.956479533909,26.195959399343195,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.775201956819366,0.0,0.0,0.0,0
